Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker
2000-01-03 00:00:00-02:00,1.450585961341858,1.450585961341858,1.450585961341858,1.450585961341858,35389440000,0.0,0.0,PETR4
2000-01-04 00:00:00-02:00,1.370341181755066,1.370341181755066,1.370341181755066,1.370341181755066,28861440000,0.0,0.0,PETR4
2000-01-05 00:00:00-02:00,1.3565142154693604,1.3565142154693604,1.3565142154693604,1.3565142154693604,43033600000,0.0,0.0,PETR4
2000-01-06 00:00:00-02:00,1.351822853088379,1.351822853088379,1.351822853088379,1.351822853088379,34055680000,0.0,0.0,PETR4
2000-01-07 00:00:00-02:00,1.3579951524734497,1.3579951524734497,1.3579951524734497,1.3579951524734497,20912640000,0.0,0.0,PETR4
2000-01-10 00:00:00-02:00,1.3858959674835205,1.3858959674835205,1.3858959674835205,1.3858959674835205,19563520000,0.0,0.0,PETR4
2000-01-11 00:00:00-02:00,1.351822853088379,1.351822853088379,1.351822853088379,1.351822853088379,23987200000,0.0,0.0,PETR4
2000-01-12 00:00:00-02:00,1.3537980318069458,1.3537980318069458,1.3537980318069458,1.3537980318069458,23301120000,0.0,0.0,PETR4
2000-01-13 00:00:00-02:00,1.314786434173584,1.314786434173584,1.314786434173584,1.314786434173584,26383360000,0.0,0.0,PETR4
2000-01-14 00:00:00-02:00,1.33330500125885,1.33330500125885,1.33330500125885,1.33330500125885,16657920000,0.0,0.0,PETR4
2000-01-17 00:00:00-02:00,1.317996621131897,1.317996621131897,1.317996621131897,1.317996621131897,16573440000,0.0,0.0,PETR4
2000-01-18 00:00:00-02:00,1.3241689205169678,1.3241689205169678,1.3241689205169678,1.3241689205169678,17925120000,0.0,0.0,PETR4
2000-01-19 00:00:00-02:00,1.314786434173584,1.314786434173584,1.314786434173584,1.314786434173584,38883840000,0.0,0.0,PETR4
2000-01-20 00:00:00-02:00,1.3118237257003784,1.3118237257003784,1.3118237257003784,1.3118237257003784,26268160000,0.0,0.0,PETR4
2000-01-21 00:00:00-02:00,1.2839224338531494,1.2839224338531494,1.2839224338531494,1.2839224338531494,17512960000,0.0,0.0,PETR4
2000-01-24 00:00:00-02:00,1.274787425994873,1.274787425994873,1.274787425994873,1.274787425994873,18385920000,0.0,0.0,PETR4
2000-01-25 00:00:00-02:00,1.274787425994873,1.274787425994873,1.274787425994873,1.274787425994873,0,0.0,0.0,PETR4
2000-01-26 00:00:00-02:00,1.2900960445404053,1.2900960445404053,1.2900960445404053,1.2900960445404053,25917440000,0.0,0.0,PETR4
2000-01-27 00:00:00-02:00,1.280960202217102,1.280960202217102,1.280960202217102,1.280960202217102,38379520000,0.0,0.0,PETR4
2000-01-28 00:00:00-02:00,1.280960202217102,1.280960202217102,1.280960202217102,1.280960202217102,17894400000,0.0,0.0,PETR4
2000-01-31 00:00:00-02:00,1.2594788074493408,1.2594788074493408,1.2594788074493408,1.2594788074493408,32266240000,0.0,0.0,PETR4
2000-02-01 00:00:00-02:00,1.2839224338531494,1.2839224338531494,1.2839224338531494,1.2839224338531494,23672320000,0.0,0.0,PETR4
2000-02-02 00:00:00-02:00,1.308613896369934,1.308613896369934,1.308613896369934,1.308613896369934,14272000000,0.0,0.0,PETR4
2000-02-03 00:00:00-02:00,1.3456504344940186,1.3456504344940186,1.3456504344940186,1.3456504344940186,25950720000,0.0,0.0,PETR4
2000-02-04 00:00:00-02:00,1.3797236680984497,1.3797236680984497,1.3797236680984497,1.3797236680984497,21199360000,0.0,0.0,PETR4
2000-02-07 00:00:00-02:00,1.3888591527938843,1.3888591527938843,1.3888591527938843,1.3888591527938843,20613120000,0.0,0.0,PETR4
2000-02-08 00:00:00-02:00,1.419722557067871,1.419722557067871,1.419722557067871,1.419722557067871,31498240000,0.0,0.0,PETR4
2000-02-09 00:00:00-02:00,1.3888591527938843,1.3888591527938843,1.3888591527938843,1.3888591527938843,15600640000,0.0,0.0,PETR4
